Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
Pending,1795000.0,3,2,1700.0,40.7947561,-73.9627149,19,1,83,8,1583,206,8,5,1265,87,0,19,24,143,Manhattan,10025,1700.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,24.0,69.5065204120069
Co-op for sale,699000.0,1,1,750.0,40.73213,-73.987154,22,3,146,40,3218,194,15,23,1503,159,1,45,28,211,Manhattan,10003,3193.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
Co-op for sale,699000.0,1,1,750.0,40.73213,-73.987154,22,3,146,40,3222,194,15,23,1503,159,1,45,28,210,Manhattan,10003,3193.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
Pending,1890000.0,6,3.5,2790.0,40.7736356,-73.7744225,11,1,1,1,218,19,0,0,676,9,0,1,5,32,Queens,11361,10454.4,0–1 miles,3–4 miles,3–4 miles,3–4 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,111.0,75.10102633709577
Townhouse for sale,1949000.0,3,2,1840.0,40.6764197,-73.9975144,15,0,100,7,1362,157,4,0,1176,102,0,22,11,147,Brooklyn,11231,1840.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,76.0,85.32013501928847
Multi-family home for sale,1395000.0,4,3,2216.0,40.6436475,-73.9849415,4,0,79,5,824,130,1,0,1433,81,0,6,4,118,Brooklyn,11218,2000.0,0–1 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,66.0,69.5065204120069
Condo for sale,779000.0,2,1,1025.0,40.6723263,-73.9509853,29,0,110,23,1063,195,3,0,1786,113,0,10,4,145,Brooklyn,11216,1025.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,79.0,55.3387983997714
Co-op for sale,2250000.0,2,2,1100.0,40.7744358,-73.9774666,15,3,102,20,2370,183,12,14,1490,111,1,30,23,183,Manhattan,10023,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Condo for sale,6500000.0,3,2.5,1961.0,40.7362687,-73.9989595,21,3,131,39,3123,174,14,23,1528,147,1,43,27,191,Manhattan,10011,1961.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,10.0,75.10102633709577
Condo for sale,5800000.0,3,2.5,3627.0,40.714485,-74.0094957,18,2,119,32,2629,163,11,20,1216,132,1,42,16,171,Manhattan,10007,3627.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Condo for sale,5800000.0,3,2.5,3627.0,40.714485,-74.0094957,18,2,119,32,2632,165,11,20,1216,132,1,42,16,171,Manhattan,10007,3627.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Condo for sale,4750000.0,4,3,2669.0,40.7913778,-73.9771897,14,2,73,7,1682,176,7,9,1266,79,0,17,22,133,Manhattan,10024,8058.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Co-op for sale,649000.0,1,1,600.0,40.7615027,-73.9760873,16,3,114,35,3071,173,12,21,1553,121,1,38,25,197,Manhattan,10019,2300.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Co-op for sale,674000.0,1,1,800.0,40.7478488,-73.971528,18,3,133,41,3451,195,13,21,1604,140,1,43,24,223,Manhattan,10017,800.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,4250000.0,3,2.5,1549.5,40.7885633,-73.9767931,12,2,76,10,1764,169,8,9,1303,83,0,20,22,137,Manhattan,10024,2200.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Condo for sale,5050000.0,4,4.5,3357.0,40.769977,-73.992278,16,3,99,24,2586,158,12,21,1405,109,1,30,24,165,Manhattan,10019,3357.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Co-op for sale,2500000.0,4,3,2457.0,40.7836666,-73.9522501,18,2,98,17,2043,206,9,7,1466,102,0,21,23,172,Manhattan,10128,3456.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,629000.0,2,1,1000.0,40.6485475,-73.9803315,4,0,86,5,846,143,3,0,1511,88,0,7,4,126,Brooklyn,11218,1000.0,0–1 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,66.0,69.5065204120069
House for sale,3199000.0,5,3,6425.0,40.6114114,-73.9039971,12,0,8,1,81,37,1,0,726,8,1,1,2,18,Brooklyn,11234,5600.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,3–4 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,63.0,69.5065204120069
House for sale,3199000.0,5,3,6425.0,40.6114114,-73.9039971,12,0,8,1,82,37,1,0,726,8,1,1,2,18,Brooklyn,11234,5600.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,3–4 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,63.0,69.5065204120069
Multi-family home for sale,899000.0,4,3,1104.0,40.6570974,-73.9263872,32,0,78,13,487,121,1,0,1727,80,0,3,3,90,Brooklyn,11203,1600.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,67.0,45.17588226889556
Condo for sale,1295000.0,2,2,1255.0,40.7188611,-73.9487114,24,1,136,47,2845,192,13,16,1876,142,1,34,15,238,Brooklyn,11222,1255.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,94.0,75.10102633709577
Co-op for sale,525000.0,3,2,1500.0,40.8318692,-73.9197034,41,0,78,7,421,216,4,1,1168,86,0,13,8,88,Bronx,10456,1500.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,42.0,45.17588226889556
Multi-family home for sale,1450000.0,4,2,2380.0,40.7680447,-73.7951485,16,2,2,1,272,20,0,0,825,10,0,2,5,46,Queens,11358,4650.0,1–2 miles,1–2 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,109.0,35.425132161737395
House for sale,879000.0,4,3,1280.0,40.6887332,-73.8546002,17,1,58,9,468,60,1,0,1422,65,0,0,4,74,Queens,11421,1540.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,102.0,62.766447838413015
Condo for sale,1400000.0,1,2,920.0,40.7645034,-73.9648503,15,3,115,39,2932,176,12,21,1599,121,1,30,23,211,Manhattan,10065,920.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,1350000.0,2,1,1100.0,40.6956998,-73.9975327,21,0,117,25,2245,172,9,14,1206,126,1,33,14,173,Brooklyn,11201,9389.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Co-op for sale,1350000.0,2,1,1100.0,40.6956998,-73.9975327,21,0,117,25,2247,174,9,14,1206,126,1,33,14,173,Brooklyn,11201,9389.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Multi-family home for sale,1725000.0,5,3,2967.0,40.7674157,-73.8777881,4,2,30,13,844,25,0,0,1042,33,1,1,2,123,Queens,11369,3657.5,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,2–3 miles,0–1 miles,115.0,45.17588226889556
Multi-family home for sale,1725000.0,5,3,2967.0,40.7674157,-73.8777881,4,2,30,13,846,25,0,0,1042,33,1,1,2,123,Queens,11369,3657.5,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,2–3 miles,0–1 miles,115.0,45.17588226889556
Multi-family home for sale,1428000.0,4,2,2457.0,40.7763496,-73.9214618,20,0,78,16,1590,173,5,1,1440,82,1,16,11,174,Queens,11102,3456.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,1–2 miles,0–1 miles,114.0,35.425132161737395
Multi-family home for sale,1428000.0,4,2,2457.0,40.7763496,-73.9214618,20,0,78,16,1596,173,5,1,1440,82,1,16,11,173,Queens,11102,3456.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,1–2 miles,0–1 miles,114.0,35.425132161737395
Multi-family home for sale,6668000.0,17,27,6425.0,40.5885913,-74.095371,1,0,7,0,110,14,0,1,418,7,0,2,1,19,Staten Island,10305,12196.8,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Multi-family home for sale,6668000.0,17,27,6425.0,40.5885913,-74.095371,1,0,7,0,114,14,0,1,418,7,0,2,1,20,Staten Island,10305,12196.8,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Pending,995000.0,4,4,2457.0,40.7638416,-73.9657988,15,3,116,39,2981,177,12,21,1598,122,1,30,23,212,Manhattan,10065,10890.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Condo for sale,3295000.0,2,2,1322.0,40.7410182,-74.0001293,20,3,125,38,3137,159,14,23,1559,142,1,47,28,190,Manhattan,10011,8904.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,10.0,75.10102633709577
Condo for sale,2400000.0,3,2,1783.0,40.7033769,-73.9890623,24,2,134,39,2638,185,12,16,1378,143,1,38,16,200,Brooklyn,11201,1783.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Pending,979000.0,5,2,1944.0,40.6592237,-73.9015243,27,1,58,10,331,91,1,0,1482,60,0,2,2,67,Brooklyn,11212,2283.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,73.0,45.17588226889556
Pending,695000.0,2,1,1056.0,40.5756557,-74.1093749,2,0,6,0,103,13,0,0,356,6,0,0,1,18,Staten Island,10306,4000.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,122.0,69.5065204120069
Condo for sale,2450000.0,2,2,1703.0,40.7320049,-73.9888441,22,3,144,40,3224,191,15,23,1508,158,1,45,28,206,Manhattan,10003,1703.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
Co-op for sale,219000.0,1,1,1068.0,40.8767878,-73.8857541,36,1,47,3,166,122,0,0,857,59,0,2,5,54,Bronx,10468,1068.0,0–1 miles,1–2 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,52.0,35.425132161737395
Co-op for sale,5750000.0,1,1.5,750.0,40.7762291,-73.9640737,13,2,98,21,2350,191,11,12,1481,105,1,27,23,186,Manhattan,10075,800.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Pending,295000.0,Studio,1,600.0,40.6624901,-73.98347,10,0,83,5,863,145,2,0,1349,85,0,10,6,127,Brooklyn,11215,2404.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
Condo for sale,949000.0,2,2,977.0,40.6843574,-73.9899697,22,0,110,19,1822,170,5,3,1332,112,0,30,13,164,Brooklyn,11201,977.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Condo for sale,4100000.0,2,2.5,1100.0,40.7430534,-73.9845503,21,3,138,39,3353,179,14,23,1582,150,1,50,28,212,Manhattan,10016,1260.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,799000.0,2,2,884.0,40.6184651,-74.0001624,2,0,56,0,445,81,1,0,1158,56,0,2,2,84,Brooklyn,11228,8000.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,68.0,69.5065204120069
Pending,450000.0,7,4,5610.0,40.6581295,-73.923706,32,0,77,13,497,120,1,0,1728,79,0,3,3,91,Brooklyn,11212,3000.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,73.0,45.17588226889556
Condo for sale,650000.0,Studio,1,656.0,40.707729,-74.0097327,18,2,110,31,2487,160,9,18,1101,122,1,39,16,166,Manhattan,10005,13780.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Multi-family home for sale,1599900.0,4,3.5,3762.0,40.521012,-74.233571,7,0,6,0,66,13,0,0,179,7,0,1,0,7,Staten Island,10309,5076.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,123.0,85.32013501928847
House for sale,1950000.0,2,1,1800.0,40.5234424,-74.1702902,1,0,8,0,81,2,0,0,173,8,0,1,0,7,Staten Island,10312,13780.0,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,2–3 miles,4+ miles,1–2 miles,123.0,85.32013501928847
Contingent,999900.0,1,2,1000.0,40.7279118,-73.9837971,25,3,154,42,3207,194,16,22,1522,165,1,46,25,215,Manhattan,10009,1000.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
House for sale,2100000.0,6,4,3600.0,40.6924876,-73.9100602,31,0,82,22,794,141,2,0,1798,84,0,4,4,112,Brooklyn,11221,3600.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,81.0,69.5065204120069
Multi-family home for sale,1229000.0,7,4,2400.0,40.5771197,-74.1269005,4,0,7,0,150,13,0,0,387,7,0,1,1,23,Staten Island,10306,7685.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,122.0,69.5065204120069
Co-op for sale,360000.0,1,1,750.0,40.7425299,-73.8803299,5,2,38,16,1058,51,0,0,1303,42,1,2,3,145,Queens,11373,750.0,2–3 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,110.0,45.17588226889556
Co-op for sale,360000.0,1,1,750.0,40.7425299,-73.8803299,5,2,38,16,1060,51,0,0,1303,42,1,2,3,144,Queens,11373,750.0,2–3 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,110.0,45.17588226889556
Multi-family home for sale,2125000.0,19,8,6425.0,40.8593023,-73.8933067,53,1,69,5,225,166,0,0,1034,80,0,5,9,67,Bronx,10458,9321.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,48.0,45.17588226889556
Co-op for sale,1250000.0,2,2,1200.0,40.7643205,-73.9725177,15,3,115,39,2961,174,12,21,1580,122,1,34,25,201,Manhattan,10022,6750.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,1250000.0,2,2,1200.0,40.7643205,-73.9725177,15,3,115,39,2966,174,12,21,1580,122,1,34,25,200,Manhattan,10022,6750.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,950000.0,3,2,1000.0,40.6452372,-74.0183916,2,0,45,1,579,65,1,0,854,45,0,2,3,81,Brooklyn,11220,1000.0,1–2 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,3–4 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,72.0,62.766447838413015
Condo for sale,950000.0,3,2,1000.0,40.6452372,-74.0183916,2,0,45,1,581,65,1,0,854,45,0,2,3,81,Brooklyn,11220,1000.0,1–2 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,3–4 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,72.0,62.766447838413015
Multi-family home for sale,1125000.0,6,3,2731.0,40.8358371,-73.8183781,15,0,15,1,90,50,0,0,460,15,1,2,5,22,Bronx,10465,2187.0,0–1 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,45.0,62.766447838413015
Co-op for sale,1500000.0,1,1,750.0,40.7736952,-73.9585898,14,2,102,23,2412,184,11,12,1539,108,1,27,22,198,Manhattan,10075,8160.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Pending,2600000.0,2,2,1701.0,40.7483414,-74.0003923,20,3,123,34,3141,155,14,23,1550,138,1,45,28,188,Manhattan,10001,1701.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,10.0,75.10102633709577
Condo for sale,599888.0,1,1,826.0,40.7436341,-73.916415,2,0,64,28,1659,90,2,2,1549,67,1,6,9,184,Queens,11104,826.0,2–3 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,108.0,62.766447838413015
Co-op for sale,1500000.0,2,1,1100.0,40.7355671,-74.0044939,19,3,122,37,3029,160,14,22,1492,138,1,44,27,180,Manhattan,10014,1260.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Condo for sale,1299999.0,2,1,1422.0,40.7849407,-73.9778666,12,2,79,11,1911,178,10,10,1335,86,0,22,23,152,Manhattan,10024,1422.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Pending,1365000.0,5,4,2967.0,40.734199,-73.7147768,12,0,0,2,160,22,0,0,623,10,0,0,3,29,Queens,11426,4000.0,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,105.0,45.17588226889556
Co-op for sale,245000.0,Studio,1,600.0,40.7520799,-73.88188,4,2,35,15,978,34,0,0,1255,39,1,1,3,136,Queens,11372,1667.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,115.0,45.17588226889556
Co-op for sale,245000.0,Studio,1,600.0,40.7520799,-73.88188,4,2,35,15,980,34,0,0,1255,39,1,1,3,135,Queens,11372,1667.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,115.0,45.17588226889556
Condo for sale,575000.0,2,2,745.0,40.7438981,-73.8801356,5,2,37,16,1052,48,0,0,1290,41,1,2,3,145,Queens,11373,745.0,2–3 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,110.0,45.17588226889556
Condo for sale,575000.0,2,2,745.0,40.7438981,-73.8801356,5,2,37,16,1054,48,0,0,1290,41,1,2,3,144,Queens,11373,745.0,2–3 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,110.0,45.17588226889556
Condo for sale,2695000.0,3,2,1468.0,40.7635983,-73.9689101,15,3,117,41,3010,178,12,21,1598,124,1,33,25,210,Manhattan,10065,1468.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
